17,2022-07-13 11:00:02,"Hai SohIB! Sebenarnya aman ga sih pakai #HP di #SPBU, apalagi sekarang kan beli #BBM pakai aplikasi #MyPertamina di #Smartphone.

#IndonesiaBaik #YangMudaSukaData #EdukasiInformasi #Infografis    #KominfoNewsroom @MyPertaminaID https://t.co/Xtsxw4RVGi",Indonesia Baik,8,5
18,2022-07-13 09:08:50,"Warga Semarang merapat dulu yuk!
 
Wali Kota Semarang Bapak Hendrar Prihadi @hendrarprihadi titip pesan nih agar subsidi dari negara ini tepat sasaran.

Jangan lupa bagikan informasi ini ke teman dan kerabat kamu ya!

#Pertamina
#PatraNiagaRJBT
#MyPertamina
#Call135 https://t.co/x1BM4sW1ox",Pertamina Patra Niaga RJBT,45,22
19,2022-07-13 09:05:00,Pertamina juga mengumumkan 11 titik di Bali yang bisa menjadi lokasi registrasi offline. #pertamina #subsidiBBM #mypertamina #bali https://t.co/5a2l1bigk4,kanalbali,0,0
20,2022-07-13 08:36:38,"Mulai kemarin tanggal 11 Juli 2022 dilakukan perluasan pendaftaran subsidi termasuk tiga kota di Jatim, yakni Kota Madiun, Kota Mojokerto dan Kota Malang di Jawa Timur.

Selengkapnya Baca di https://t.co/NG9nmeahYf
#news #malang  #mojokerto  #madiun #madiunhits #mypertamina https://t.co/7QyctP7BqG",Klik Times,1,0
21,2022-07-13 05:10:07,"Update kunker DPR RI di NTB: Nelayan dan pelaku UMKM bisa membeli BBM bersubsidi, Pertamina jangan mempersulit #MyPertamina https://t.co/oNjjc315C1",JPNN.com,0,0
22,2022-07-13 05:08:47,"Yuk, ikuti langkah-langkah berikut. Namun sebelumnya pastikan SohIB sudah terdaftar dan terkonfirmasi di laman https://t.co/o3HgbxFdp3 ya. 

#IndonesiaBaik #YangMudaSukaData #EdukasiInformasi #Infografis #BBM #BBMSubsidi #Pertalite #SPBU #QRCode #MyPertamina #KominfoNewsroom https://t.co/zEvFPCkhcc",Indonesia Baik,4,0
23,2022-07-13 05:05:32,"Yaudah yuk, langsung aja iisi full-tank kendaraan kesayangan kamu dengan #LebihBaikPertamax hari ini 💙

#SelaluJadiAndalan #PerfectionInPerformance #LebihBaikPertamax #MyPertamina #Call135",Pertamax Series ID,2,2
24,2022-07-13 05:05:31,"Apalagi transaksinya pakai aplikasi @mypertamina yang bikin kamu bisa dapet poin serta Kupon Undian #MyPertaminaTebarHadiah 😎

#SelaluJadiAndalan #PerfectionInPerformance #LebihBaikPertamax #MyPertamina #Call135",Pertamax Series ID,2,2
25,2022-07-13 05:05:30,"Paling favorit emang mengisi waktu dengan berbagai hal yang bermanfaat.

Salah satunya adalah mengisi #LebihBaikPertamax agar kesehatan mesin kendaraan jadi lebih sehat.

#SelaluJadiAndalan #PerfectionInPerformance #LebihBaikPertamax #MyPertamina #Call135 https://t.co/iDFkosQMPF",Pertamax Series ID,2,2
26,2022-07-13 05:00:00,"Hai SohIB! @pertamina memberikan solusi untuk membeli #BBMSubsidi dengan #QRCode tanpa ponsel. Bagaimana caranya? 

#IndonesiaBaik #YangMudaSukaData #EdukasiInformasi #Infografis #BBM #Pertalite #SPBU  #MyPertamina #KominfoNewsroom https://t.co/q92lshkTc5",Indonesia Baik,10,6
27,2022-07-13 04:59:34,"Apabila kamu belum mendapatkan Kode QR, kamu tetap bisa melakukan pengisian BBM Subsidi sampai 31 Juli 2022 dengan batasan 20 liter per-hari.

Untuk Info lebih lanjut, silakan hubungi Pertamina Call Center 135 ya.

#MyPertamina #Call135 #SubsidiTepatSasaran",MyPertamina,7,4
28,2022-07-13 04:59:33,"Min, saya udah daftar dan berhasil nih! Tapi kok nggak dapet Kode QR-nya ya? Terus nanti gimana nih kalau mau ngisi BBM Subsidi tapi Kode QR-nya belum ada?

Tenang aja sob! Untuk proses mendapatkan Kode QR itu paling lama 7 hari. 

#MyPertamina #Call135 #SubsidiTepatSasaran https://t.co/gvmIczkj1v",MyPertamina,8,5
29,2022-07-13 04:50:06,"Aplikasi MyPertamina perlu disosialisasikan dengan lebih serius, Pemkot Mataram minta Pertamina lebih optimal #MyPertamina https://t.co/C5MgZiRRnT",JPNN.com,0,0
30,2022-07-12 23:35:44,"MENYESATKAN, Video Mobil Terbakar di SPBU Wero Gombong Lantaran Gunakan Aplikasi MyPertamina #mobilterbakar #MyPertamina #cekfakta

https://t.co/ogtjk75z7U",tempocekfakta,0,0
